sector_38,count,mean_return,median_return,std_return,avg_ipo_price,avg_subscription_rate,avg_institutional_rate
"물질 검사, 측정 및 분석기구 제조업",1,16.46,16.46,,4800.0,630.75,765.86
기타 전기장비 제조업,1,15.12,15.12,,8000.0,14.59,129.06
만화 출판업,1,15.0,15.0,,9000.0,1917.16,1821.64
자동차 부품 제조업,1,13.33,13.33,,30000.0,1000.82,725.94
그 외 기타 의료용 기기 제조업,2,11.34,11.34,3.56,19500.0,1511.44,1035.24
유선 통신장비 제조업,1,8.87,8.87,,15000.0,0.0,0.0
신규상장,4,5.12,8.18,29.79,14125.0,745.77,1000.46
기타 건물 관련설비 설치 공사업,1,3.93,3.93,,15000.0,0.0,0.0
액정 표시장치 제조업,2,0.94,0.94,19.0,32000.0,408.32,258.1
금융 지원 서비스업,1,-1.1,-1.1,,2000.0,0.0,0.0
의료용품 및 기타 의약 관련제품 제조업,3,-2.19,2.95,12.75,12166.67,881.39,726.73
그 외 기타 특수 목적용 기계 제조업,2,-2.2,-2.2,28.0,7500.0,3.52,171.83
기타 의료용 기기 제조업,1,-7.0,-7.0,,20000.0,0.0,0.0
부동산 임대업,1,-8.7,-8.7,,5000.0,0.0,0.0
전자부품 제조업,2,-10.8,-10.8,1.42,17750.0,1300.01,1565.45
디지털 적층 성형기계 제조업,1,-11.09,-11.09,,23000.0,0.0,0.0
주형 및 금형 제조업,1,-12.59,-12.59,,5800.0,0.0,0.0
"기타 전문, 과학 및 기술 서비스업",1,-12.84,-12.84,,44000.0,7.44,86.97
신발 소매업,1,-18.31,-18.31,,16000.0,0.0,0.0
"유인 항공기, 항공우주선 및 보조장치 제조업",1,-20.44,-20.44,,43300.0,1150.72,598.87
기타 광학 기기 제조업,1,-23.0,-23.0,,30000.0,425.77,577.59
"물리, 화학 및 생물학 연구개발업",1,-28.7,-28.7,,23000.0,672.17,1220.68
무선 및 위성 통신업,1,-29.24,-29.24,,22500.0,9.09,198.93
기타 구조용 금속제품 제조업,1,-31.67,-31.67,,21000.0,0.0,0.0
합성수지 및 기타 플라스틱물질 제조업,1,-32.07,-32.07,,15000.0,0.0,0.0
기타 운송관련 서비스업,1,-32.1,-32.1,,16200.0,111.26,955.0
"실감미디어, 엔터테인먼트",1,-33.77,-33.77,,13000.0,58.4,1082.35
전자상거래 소매 중개업,1,-35.32,-35.32,,19000.0,0.0,0.0
"영화, 비디오물, 방송 프로그램 제작 및 배급업",1,-35.76,-35.76,,30200.0,2.62,288.0
기타 광학기기 제조업,1,-37.06,-37.06,,16000.0,39.94,0.0
기타 기술 및 직업훈련학원,1,-40.0,-40.0,,13000.0,0.0,0.0
