date,close,open,high,low,volume,trading_value,market_cap,per,pbr,eps,listed_shares,company_name,code,listing_date
2023-08-30,2520.0,3465.0,4200.0,2515.0,54168694,185840003320.0,0.0,0.0,0.0,0.0,0.0,한국제12호기업인수목적,458610,2023-08-30
2023-08-31,2235.0,2370.0,2750.0,2130.0,8162138,19786587770.0,0.0,0.0,0.0,0.0,0.0,한국제12호기업인수목적,458610,2023-08-30
2023-11-13,1980.0,2530.0,2745.0,1978.0,22346680,49873026605.0,0.0,0.0,0.0,0.0,0.0,한국제13호기업인수목적,464440,2023-11-13
2023-11-14,1974.0,1982.0,1998.0,1966.0,1107208,2187144622.0,0.0,0.0,0.0,0.0,0.0,한국제13호기업인수목적,464440,2023-11-13
2024-06-19,2055.0,3150.0,3495.0,2045.0,42064145,114292157010.0,0.0,0.0,0.0,0.0,0.0,한국제14호기업인수목적,477530,2024-06-19
2024-06-20,2065.0,2060.0,2070.0,2050.0,956187,1965633515.0,0.0,0.0,0.0,0.0,0.0,한국제14호기업인수목적,477530,2024-06-19
2024-06-26,1983.0,3175.0,3275.0,1980.0,51316085,135030005267.0,0.0,0.0,0.0,0.0,0.0,한국제15호기업인수목적,479880,2024-06-26
2024-06-27,1992.0,1985.0,1994.0,1981.0,1101419,2186487233.0,0.0,0.0,0.0,0.0,0.0,한국제15호기업인수목적,479880,2024-06-26
2024-01-04,6330.0,6140.0,6330.0,6120.0,7223523,45430851970.0,0.0,0.0,0.0,0.0,0.0,한빛레이저,452190,2024-01-04
2024-01-05,7390.0,7480.0,8220.0,6390.0,57198487,430254303020.0,0.0,0.0,0.0,0.0,0.0,한빛레이저,452190,2024-01-04
2023-10-04,21500.0,37350.0,42000.0,21100.0,10136005,320585861450.0,0.0,0.0,0.0,0.0,0.0,한싹,430690,2023-10-04
2023-10-05,26450.0,20050.0,27700.0,18530.0,9912791,240757326900.0,0.0,0.0,0.0,0.0,0.0,한싹,430690,2023-10-04
2023-01-19,5340.0,4115.0,5340.0,4115.0,28242422,134732146655.0,0.0,0.0,0.0,0.0,0.0,한주라이트메탈,198940,2023-01-19
2023-01-20,6020.0,5850.0,6860.0,5700.0,32462461,201653034310.0,0.0,0.0,0.0,0.0,0.0,한주라이트메탈,198940,2023-01-19
2024-06-24,34000.0,45550.0,52000.0,33350.0,16092923,719861322450.0,0.0,0.0,0.0,0.0,0.0,한중엔시에스,107640,2024-06-24
2024-06-25,44200.0,36150.0,44200.0,36100.0,5678860,228157815000.0,0.0,0.0,0.0,0.0,0.0,한중엔시에스,107640,2024-06-24
2024-10-22,22800.0,32500.0,33300.0,22300.0,25616683,728187747350.0,0.0,0.0,0.0,0.0,0.0,한켐,457370,2024-10-22
2024-10-23,20350.0,22450.0,25250.0,19270.0,6847527,152673714620.0,0.0,0.0,0.0,0.0,0.0,한켐,457370,2024-10-22
2023-09-07,1998.0,2900.0,2955.0,1996.0,29456962,72923630127.0,0.0,0.0,0.0,0.0,0.0,한화플러스제4호기업인수목적,455310,2023-09-07
2023-09-08,1995.0,1999.0,2000.0,1990.0,1378880,2750540268.0,0.0,0.0,0.0,0.0,0.0,한화플러스제4호기업인수목적,455310,2023-09-07
